case,n,family,schedule,p_s,ind_q_hist,ind_total_ns,cr_q_hist,cr_total_ns,ac_q_hist,ac_total_ns,fast_q_hist,fast_total_ns,work_ratio_ind_over_ac,work_ratio_ind_over_fast,time_ratio_ac_over_ind,time_ratio_fast_over_ind
189,32,random_systematic_linear,forward,0.05,2048,57435,2048,50980,2047,13873050,2048,2133970,1.0004885197850513,1.0,241.5434839383651,37.15452250369984
190,32,random_systematic_linear,forward,0.05,2024,53349,2024,58622,61,13693058,64,2754119,33.18032786885246,31.625,256.6694408517498,51.62456653358076
191,32,random_systematic_linear,forward,0.05,2047,55023,2047,51875,2045,12534374,2047,2203697,1.0009779951100244,1.0,227.8024462497501,40.0504698035367
192,16,random_systematic_linear,even_odd,0.01,28,4552,23,56135,18,242359,18,95076,1.5555555555555556,1.5555555555555556,53.24231107205624,20.88664323374341
193,16,random_systematic_linear,even_odd,0.01,28,3315,23,44831,19,238134,20,148671,1.4736842105263157,1.4,71.83529411764705,44.84796380090498
194,16,random_systematic_linear,even_odd,0.01,511,14447,511,82870,503,458038,504,229591,1.0159045725646123,1.0138888888888888,31.704713781407904,15.891949885789437
195,16,random_systematic_linear,even_odd,0.05,27,2701,24,43123,19,196683,20,167475,1.4210526315789473,1.35,72.81858570899666,62.00481303221029
196,16,random_systematic_linear,even_odd,0.05,31,3398,30,94416,24,454344,24,219523,1.2916666666666667,1.2916666666666667,133.70924072984107,64.6035903472631
197,16,random_systematic_linear,even_odd,0.05,31,2819,27,61662,24,457556,24,208960,1.2916666666666667,1.2916666666666667,162.31145796381696,74.12557644554806
198,16,random_systematic_linear,even_odd,0.05,32,2957,32,72997,30,749784,32,241190,1.0666666666666667,1.0,253.5623943185661,81.56577612445045
199,24,random_systematic_linear,even_odd,0.01,47,6456,42,217450,35,1857402,40,966294,1.3428571428571427,1.175,287.7016728624535,149.67379182156134
200,24,random_systematic_linear,even_odd,0.01,46,6123,36,142297,32,1430584,32,670078,1.4375,1.4375,233.64102564102564,109.43622407316674
201,24,random_systematic_linear,even_odd,0.01,48,2658,48,54272,47,814442,48,53389,1.0212765957446808,1.0,306.4115876598947,20.086155003762226
202,24,random_systematic_linear,even_odd,0.05,47,5684,45,293692,36,2046720,40,900557,1.3055555555555556,1.175,360.0844475721323,158.4371921182266
203,24,random_systematic_linear,even_odd,0.05,48,5625,48,242747,35,1278159,40,623385,1.3714285714285714,1.2,227.22826666666666,110.824
204,24,random_systematic_linear,even_odd,0.05,1149,29760,1142,191179,1139,2474155,1142,776701,1.0087796312554873,1.0061295971978985,83.13692876344086,26.09882392473118
205,24,random_systematic_linear,even_odd,0.05,1149,32411,1140,174552,1139,1993847,1140,724196,1.0087796312554873,1.0078947368421052,61.51760204868717,22.34414242078307
206,32,random_systematic_linear,even_odd,0.01,62,9514,59,606047,46,6243012,48,2338254,1.3478260869565217,1.2916666666666667,656.1921379020391,245.76981290729452
207,32,random_systematic_linear,even_odd,0.01,2047,57077,2046,695668,2043,13253669,2046,2903518,1.0019579050416054,1.0004887585532747,232.2068258668115,50.870192897314155
208,32,random_systematic_linear,even_odd,0.01,2044,58861,2037,497645,2029,6861080,2032,2539760,1.0073928043371119,1.0059055118110236,116.5641086627818,43.148434447257095
209,32,random_systematic_linear,even_odd,0.05,2026,44705,2022,174008,64,863115,64,428910,31.65625,31.65625,19.30690079409462,9.594228833463818
210,32,random_systematic_linear,even_odd,0.05,2045,55630,2039,540160,2030,7596877,2032,2512962,1.0073891625615763,1.0063976377952757,136.56079453532266,45.17278446881179
211,32,random_systematic_linear,even_odd,0.05,31786,783107,31782,1381209,2045,12629970,2048,3304444,15.543276283618582,15.5205078125,16.12802592749139,4.219658360862564
212,32,random_systematic_linear,even_odd,0.05,2047,57940,2044,666685,2031,8199842,2032,2535390,1.0078778926637124,1.0073818897637796,141.5229892992751,43.75888850535036
213,32,random_systematic_linear,even_odd,0.05,2028,50500,2023,850275,59,12460835,64,3191700,34.3728813559322,31.6875,246.7492079207921,63.201980198019804
